dataset,family,method,seed,n_qubits,n_layers,n_params,n_samples,steps,lr,nominal_lam,metric_normalization,damping_mode,max_direction_norm,max_metric_step,shots,loss_batch,metric_batch,metric_every,train_loss,train_acc,test_loss,test_acc,total_seconds,metric_seconds,gradient_seconds,solve_seconds,metric_builds,metric_examples_total,loss_examples_total,loss_executions,metric_executions,loss_shots_total,metric_shots_total,metric_oracle_in_shot_mode,metric_rank_first,metric_trace_first,metric_rank_last,metric_trace_last,first_g_dot_d,first_predicted_decrease,first_actual_same_batch_decrease,first_actual_same_batch_loss_before,first_actual_same_batch_loss_after,first_diag_metric_rank,first_diag_metric_condition,first_diag_trust_clipped,readout_order,suite,finite_shot_calibration,initial_gradient_max_abs_diff_to_first_method,initial_direction_cosine_to_full_qng,training_shots_total,calibration_shots_shared,end_to_end_shots_including_calibration,training_executions_total,calibration_executions_shared,end_to_end_executions_including_calibration,paper_tag,paper_block,source_artifact,setting
iris01,su2_haar,AQNG-aligned,0,10,3,90,60,20,0.06,0.003,trace,absolute,8.0,0.25,,4,2,2,0.2356109671885033,1.0,0.2304804564954364,1.0,367.3046101310001,365.94626088699965,1.3484300590002931,0.004669891000276,10,20,80,0,0,0,0,False,20.0,9.13670781708575,20.0,5.797800163674049,6.275359710117272,0.3765215826070363,0.3166175899721761,1.1987843193560408,0.8821667293838646,20,12279.383611599662,True,1,orientation,False,0.0,0.4906276791075644,0,0.0,0.0,0,0.0,0.0,paper-run-scaling-su2_haar-n10-s0,scaling,,n10_L3
iris01,su2_haar,AQNG-physical,0,10,3,90,60,20,0.06,0.003,trace,absolute,8.0,0.25,,4,2,2,0.2600070892200183,0.9333333333333332,0.2162890054986989,0.9333333333333332,369.487610101,368.057052313,1.4204469080000877,0.0047121930001026,10,20,80,0,0,0,0,False,16.0,5.803080871984074,16.0,6.320190404147851,5.096166072543573,0.3057699643526144,0.2617863796250883,1.1987843193560408,0.9369979397309524,16,749.1197922121825,True,1,orientation,False,0.0,0.522582006980994,0,0.0,0.0,0,0.0,0.0,paper-run-scaling-su2_haar-n10-s0,scaling,,n10_L3
iris01,su2_haar,AQNG-random,0,10,3,90,60,20,0.06,0.003,trace,absolute,8.0,0.25,,4,2,2,0.3104647336444761,0.8888888888888888,0.3917878978161078,0.8666666666666667,367.723438203,366.424589241,1.28880006699967,0.0047819729998082,10,20,80,0,0,0,0,False,20.0,0.3850376695073328,20.0,0.4329576695360997,8.496050537442793,0.5097630322465676,0.4716259919732529,1.1987843193560408,0.7271583273827879,20,885.8293066735155,True,1,orientation,False,0.0,0.3918857598962479,0,0.0,0.0,0,0.0,0.0,paper-run-scaling-su2_haar-n10-s0,scaling,,n10_L3
iris01,su2_haar,Adam,0,10,3,90,60,20,0.06,0.003,trace,absolute,8.0,0.25,,4,2,2,0.2613032053033887,0.9555555555555556,0.2848448930141376,0.9333333333333332,1.1274392660000103,0.0,1.12479779399996,0.0006315459999939,0,0,80,0,0,0,0,False,,,,,4.961214944639441,0.2976728966783665,0.2860617288027005,1.1987843193560417,0.9127225905533408,0,,False,1,full,False,0.0,,0,0.0,0.0,0,0.0,0.0,paper-run-baselines-n10_L3-s0,followup,paper-run-baselines-scaling-su2_haar-n10-s0,n10_L3
iris01,su2_haar,Full-QNG,0,10,3,90,60,20,0.06,0.003,trace,absolute,8.0,0.25,,4,2,2,0.8800414491366417,0.6444444444444445,0.8028391665770163,0.6,1514.0436332599998,1512.6528192540006,1.3801535910008624,0.0046953499995652,10,20,80,0,0,0,0,False,64.0,72.05628448100258,63.0,70.44434845844059,4.44123990514113,0.2664743943084678,0.1671405035777236,1.1987843193560408,1.0316438157783172,64,170379.92513824554,True,1,orientation,False,0.0,1.0,0,0.0,0.0,0,0.0,0.0,paper-run-scaling-su2_haar-n10-s0,scaling,,n10_L3
iris01,su2_haar,SGD,0,10,3,90,60,20,0.1,0.003,trace,absolute,8.0,0.25,,4,2,2,0.4100624282901517,0.9333333333333332,0.4093371740078499,0.8666666666666667,1.045851319999997,0.0,1.0434371380000016,0.0003221480000945,0,0,80,0,0,0,0,False,,,,,2.2150236054566146,0.2215023605456614,0.2194117145679797,1.1987843193560417,0.9793726047880618,0,,False,1,full,False,0.0,,0,0.0,0.0,0,0.0,0.0,paper-run-baselines-n10_L3-s0,followup,paper-run-baselines-scaling-su2_haar-n10-s0,n10_L3
iris01,su2_haar,AQNG-aligned,1,10,3,90,60,20,0.06,0.003,trace,absolute,8.0,0.25,,4,2,2,0.2446420302305809,1.0,0.253352082560436,1.0,459.4890125919999,458.0661174419995,1.4136394400002246,0.00424555900031,10,20,80,0,0,0,0,False,20.0,10.89923965621777,20.0,9.684306669269873,3.42695457759764,0.2056172746558583,0.1402847952255435,0.6439441369990206,0.5036593417734772,20,808.410378125531,True,1,orientation,False,0.0,0.2132432609236303,0,0.0,0.0,0,0.0,0.0,paper-run-scaling-su2_haar-n10-s1,scaling,,n10_L3
iris01,su2_haar,AQNG-physical,1,10,3,90,60,20,0.06,0.003,trace,absolute,8.0,0.25,,4,2,2,0.2296680849426762,1.0,0.2063427176627225,1.0,464.148931944,462.6693221769999,1.469894267000086,0.0044364250000512,10,20,80,0,0,0,0,False,16.0,7.333234349188779,16.0,7.534968336256509,2.6909976707678687,0.1614598602460721,0.0994144917514827,0.6439441369990206,0.5445296452475379,16,24.71190328187438,True,1,orientation,False,0.0,0.2596530079182565,0,0.0,0.0,0,0.0,0.0,paper-run-scaling-su2_haar-n10-s1,scaling,,n10_L3
iris01,su2_haar,AQNG-random,1,10,3,90,60,20,0.06,0.003,trace,absolute,8.0,0.25,,4,2,2,0.1853909895244387,1.0,0.177272389499819,1.0,461.05238501500014,459.55388940699993,1.4888331369998014,0.0043554010002253,10,20,80,0,0,0,0,False,20.0,0.7014865527025426,20.0,0.4707841519542404,4.228033011461078,0.2536819806876647,0.1943272937282023,0.6439441369990206,0.4496168432708183,20,100.97672395258002,True,1,orientation,False,0.0,0.1830250426168936,0,0.0,0.0,0,0.0,0.0,paper-run-scaling-su2_haar-n10-s1,scaling,,n10_L3
iris01,su2_haar,Adam,1,10,3,90,60,20,0.06,0.003,trace,absolute,8.0,0.25,,4,2,2,0.2617759947403388,0.9777777777777776,0.2943877437393038,0.9333333333333332,1.326914904999995,0.0,1.324395653999943,0.000645759000065,0,0,80,0,0,0,0,False,,,,,2.311963834339812,0.1387178300603887,0.109688465427738,0.6439441369990206,0.5342556715712826,0,,False,1,full,False,0.0,,0,0.0,0.0,0,0.0,0.0,paper-run-baselines-n10_L3-s1,followup,paper-run-baselines-scaling-su2_haar-n10-s1,n10_L3
